"","x"
"1",0.09
"2",0.09
"3",0.11
"4",0.12
"5",0.08
"6",0.12
"7",0.08
"8",0.08
"9",0.11
"10",0.12
"11",0.1
"12",0.08
"13",0.09
"14",0.1
"15",0.09
"16",0.11
"17",0.09
"18",0.1
"19",0.1
"20",0.12
"21",0.09
"22",0.09
"23",0.1
"24",0.12
"25",0.06
"26",0.08
"27",0.1
"28",0.1
"29",0.07
"30",0.05
"31",0.1
"32",0.09
"33",0.11
"34",0.09
"35",0.09
"36",0.08
"37",0.11
"38",0.08
"39",0.1
"40",0.1
"41",0.1
"42",0.1
"43",0.09
"44",0.09
"45",0.09
"46",0.09
"47",0.09
"48",0.1
"49",0.1
"50",0.1
"51",0.08
"52",0.1
"53",0.11
"54",0.1
"55",0.06
"56",0.08
"57",0.08
"58",0.11
"59",0.08
"60",0.08
"61",0.07
"62",0.07
"63",0.07
"64",0.09
"65",0.08
"66",0.1
"67",0.1
"68",0.09
"69",0.09
"70",0.11
"71",0.09
"72",0.08
"73",0.11
"74",0.07
"75",0.11
"76",0.09
"77",0.08
"78",0.1
"79",0.08
"80",0.08
"81",0.12
"82",0.09
"83",0.11
"84",0.09
"85",0.07
"86",0.1
"87",0.1
"88",0.11
"89",0.09
"90",0.11
"91",0.1
"92",0.1
"93",0.1
"94",0.09
"95",0.06
"96",0.07
"97",0.06
"98",0.06
"99",0.07
"100",0.06
