"","x"
"1",0.12
"2",0.1
"3",0.08
"4",0.08
"5",0.07
"6",0.07
"7",0.09
"8",0.07
"9",0.04
"10",0.08
"11",0.07
"12",0.06
"13",0.11
"14",0.09
"15",0.07
"16",0.12
"17",0.1
"18",0.08
"19",0.1
"20",0.09
"21",0.08
"22",0.07
"23",0.1
"24",0.11
"25",0.1
"26",0.09
"27",0.06
"28",0.08
"29",0.09
"30",0.09
"31",0.05
"32",0.1
"33",0.09
"34",0.07
"35",0.07
"36",0.06
"37",0.08
"38",0.1
"39",0.06
"40",0.07
"41",0.07
"42",0.07
"43",0.07
"44",0.09
"45",0.05
"46",0.09
"47",0.11
"48",0.07
"49",0.08
"50",0.09
"51",0.08
"52",0.09
"53",0.09
"54",0.08
"55",0.08
"56",0.07
"57",0.08
"58",0.09
"59",0.08
"60",0.09
"61",0.08
"62",0.09
"63",0.08
"64",0.08
"65",0.09
"66",0.1
"67",0.07
"68",0.07
"69",0.08
"70",0.1
"71",0.08
"72",0.08
"73",0.07
"74",0.09
"75",0.04
"76",0.08
"77",0.08
"78",0.09
"79",0.05
"80",0.09
"81",0.09
"82",0.07
"83",0.07
"84",0.09
"85",0.07
"86",0.11
"87",0.06
"88",0.1
"89",0.07
"90",0.07
"91",0.09
"92",0.12
"93",0.07
"94",0.08
"95",0.02
"96",0.08
"97",0.07
"98",0.04
"99",0.08
"100",0.07
