"","x"
"1",0.11
"2",0.09
"3",0.11
"4",0.1
"5",0.1
"6",0.11
"7",0.11
"8",0.1
"9",0.1
"10",0.1
"11",0.1
"12",0.1
"13",0.11
"14",0.06
"15",0.09
"16",0.09
"17",0.1
"18",0.11
"19",0.08
"20",0.06
"21",0.08
"22",0.1
"23",0.09
"24",0.08
"25",0.11
"26",0.11
"27",0.09
"28",0.09
"29",0.11
"30",0.1
"31",0.11
"32",0.08
"33",0.1
"34",0.1
"35",0.09
"36",0.11
"37",0.1
"38",0.1
"39",0.07
"40",0.1
"41",0.09
"42",0.1
"43",0.1
"44",0.1
"45",0.1
"46",0.1
"47",0.11
"48",0.11
"49",0.08
"50",0.1
"51",0.1
"52",0.1
"53",0.08
"54",0.11
"55",0.11
"56",0.09
"57",0.08
"58",0.09
"59",0.1
"60",0.05
"61",0.1
"62",0.1
"63",0.1
"64",0.1
"65",0.1
"66",0.07
"67",0.08
"68",0.11
"69",0.09
"70",0.1
"71",0.1
"72",0.09
"73",0.1
"74",0.1
"75",0.08
"76",0.1
"77",0.1
"78",0.09
"79",0.11
"80",0.11
"81",0.11
"82",0.11
"83",0.09
"84",0.11
"85",0.11
"86",0.11
"87",0.09
"88",0.07
"89",0.11
"90",0.07
"91",0.09
"92",0.1
"93",0.09
"94",0.11
"95",0.08
"96",0.11
"97",0.09
"98",0.1
"99",0.11
"100",0.08
