"","x"
"1",0.09
"2",0.08
"3",0.1
"4",0.12
"5",0.08
"6",0.12
"7",0.08
"8",0.08
"9",0.11
"10",0.12
"11",0.09
"12",0.06
"13",0.09
"14",0.08
"15",0.13
"16",0.11
"17",0.08
"18",0.11
"19",0.09
"20",0.12
"21",0.08
"22",0.09
"23",0.09
"24",0.1
"25",0.07
"26",0.08
"27",0.1
"28",0.12
"29",0.09
"30",0.05
"31",0.09
"32",0.08
"33",0.1
"34",0.09
"35",0.06
"36",0.06
"37",0.09
"38",0.08
"39",0.09
"40",0.08
"41",0.1
"42",0.09
"43",0.07
"44",0.09
"45",0.07
"46",0.09
"47",0.1
"48",0.08
"49",0.09
"50",0.1
"51",0.08
"52",0.09
"53",0.12
"54",0.11
"55",0.07
"56",0.06
"57",0.1
"58",0.1
"59",0.08
"60",0.13
"61",0.08
"62",0.07
"63",0.07
"64",0.07
"65",0.1
"66",0.13
"67",0.04
"68",0.09
"69",0.08
"70",0.12
"71",0.09
"72",0.06
"73",0.1
"74",0.07
"75",0.11
"76",0.1
"77",0.08
"78",0.11
"79",0.08
"80",0.08
"81",0.11
"82",0.05
"83",0.11
"84",0.07
"85",0.07
"86",0.09
"87",0.11
"88",0.11
"89",0.09
"90",0.09
"91",0.11
"92",0.09
"93",0.1
"94",0.09
"95",0.07
"96",0.08
"97",0.07
"98",0.06
"99",0.08
"100",0.07
