"","x"
"1",0.11
"2",0.11
"3",0.09
"4",0.1
"5",0.09
"6",0.1
"7",0.11
"8",0.11
"9",0.1
"10",0.12
"11",0.11
"12",0.1
"13",0.11
"14",0.08
"15",0.11
"16",0.11
"17",0.1
"18",0.11
"19",0.07
"20",0.06
"21",0.07
"22",0.12
"23",0.09
"24",0.09
"25",0.08
"26",0.1
"27",0.11
"28",0.06
"29",0.11
"30",0.11
"31",0.1
"32",0.09
"33",0.12
"34",0.09
"35",0.09
"36",0.11
"37",0.1
"38",0.1
"39",0.08
"40",0.11
"41",0.08
"42",0.11
"43",0.11
"44",0.11
"45",0.11
"46",0.07
"47",0.09
"48",0.1
"49",0.07
"50",0.1
"51",0.1
"52",0.1
"53",0.09
"54",0.11
"55",0.09
"56",0.1
"57",0.08
"58",0.08
"59",0.1
"60",0.06
"61",0.1
"62",0.11
"63",0.09
"64",0.1
"65",0.11
"66",0.07
"67",0.09
"68",0.09
"69",0.09
"70",0.09
"71",0.12
"72",0.11
"73",0.09
"74",0.09
"75",0.09
"76",0.12
"77",0.08
"78",0.07
"79",0.11
"80",0.1
"81",0.12
"82",0.11
"83",0.1
"84",0.1
"85",0.11
"86",0.1
"87",0.08
"88",0.1
"89",0.11
"90",0.07
"91",0.08
"92",0.11
"93",0.09
"94",0.1
"95",0.1
"96",0.1
"97",0.09
"98",0.09
"99",0.11
"100",0.07
