"","x"
"1",0.11
"2",0.08
"3",0.1
"4",0.1
"5",0.09
"6",0.12
"7",0.09
"8",0.08
"9",0.1
"10",0.11
"11",0.11
"12",0.07
"13",0.09
"14",0.11
"15",0.07
"16",0.11
"17",0.11
"18",0.1
"19",0.1
"20",0.12
"21",0.09
"22",0.1
"23",0.1
"24",0.12
"25",0.08
"26",0.11
"27",0.09
"28",0.11
"29",0.07
"30",0.1
"31",0.09
"32",0.08
"33",0.11
"34",0.08
"35",0.09
"36",0.1
"37",0.08
"38",0.09
"39",0.1
"40",0.08
"41",0.09
"42",0.08
"43",0.09
"44",0.11
"45",0.08
"46",0.1
"47",0.1
"48",0.09
"49",0.08
"50",0.1
"51",0.08
"52",0.1
"53",0.11
"54",0.11
"55",0.07
"56",0.08
"57",0.1
"58",0.11
"59",0.09
"60",0.07
"61",0.09
"62",0.07
"63",0.06
"64",0.09
"65",0.09
"66",0.1
"67",0.09
"68",0.09
"69",0.09
"70",0.11
"71",0.08
"72",0.07
"73",0.1
"74",0.08
"75",0.08
"76",0.11
"77",0.1
"78",0.09
"79",0.1
"80",0.1
"81",0.12
"82",0.08
"83",0.08
"84",0.1
"85",0.1
"86",0.1
"87",0.11
"88",0.11
"89",0.11
"90",0.1
"91",0.09
"92",0.09
"93",0.1
"94",0.07
"95",0.05
"96",0.09
"97",0.07
"98",0.05
"99",0.09
"100",0.07
